,country_1,country_2,run,count
0,IB,IB,10,4
1,IB,NW,10,2
2,IB,N,10,0
3,IB,B,10,2
4,IB,C,10,4
5,IB,E,10,2
6,NW,IB,10,2
7,NW,NW,10,5
8,NW,N,10,2
9,NW,B,10,3
10,NW,C,10,3
11,NW,E,10,3
12,N,IB,10,0
13,N,NW,10,2
14,N,N,10,10
15,N,B,10,6
16,N,C,10,2
17,N,E,10,4
18,B,IB,10,2
19,B,NW,10,3
20,B,N,10,6
21,B,B,10,9
22,B,C,10,2
23,B,E,10,5
24,C,IB,10,4
25,C,NW,10,3
26,C,N,10,2
27,C,B,10,2
28,C,C,10,8
29,C,E,10,3
30,E,IB,10,2
31,E,NW,10,3
32,E,N,10,4
33,E,B,10,5
34,E,C,10,3
35,E,E,10,8
36,IB,IB,11,9
37,IB,NW,11,3
38,IB,N,11,3
39,IB,B,11,2
40,IB,C,11,6
41,IB,E,11,6
42,NW,IB,11,3
43,NW,NW,11,13
44,NW,N,11,4
45,NW,B,11,4
46,NW,C,11,7
47,NW,E,11,6
48,N,IB,11,3
49,N,NW,11,4
50,N,N,11,12
51,N,B,11,6
52,N,C,11,5
53,N,E,11,8
54,B,IB,11,2
55,B,NW,11,4
56,B,N,11,6
57,B,B,11,12
58,B,C,11,5
59,B,E,11,6
60,C,IB,11,6
61,C,NW,11,7
62,C,N,11,5
63,C,B,11,5
64,C,C,11,12
65,C,E,11,8
66,E,IB,11,6
67,E,NW,11,6
68,E,N,11,8
69,E,B,11,6
70,E,C,11,8
71,E,E,11,15
72,IB,IB,12,9
73,IB,NW,12,5
74,IB,N,12,2
75,IB,B,12,1
76,IB,C,12,5
77,IB,E,12,5
78,NW,IB,12,5
79,NW,NW,12,11
80,NW,N,12,1
81,NW,B,12,1
82,NW,C,12,4
83,NW,E,12,4
84,N,IB,12,2
85,N,NW,12,1
86,N,N,12,6
87,N,B,12,5
88,N,C,12,1
89,N,E,12,3
90,B,IB,12,1
91,B,NW,12,1
92,B,N,12,5
93,B,B,12,6
94,B,C,12,2
95,B,E,12,4
96,C,IB,12,5
97,C,NW,12,4
98,C,N,12,1
99,C,B,12,2
100,C,C,12,7
101,C,E,12,5
102,E,IB,12,5
103,E,NW,12,4
104,E,N,12,3
105,E,B,12,4
106,E,C,12,5
107,E,E,12,8
108,IB,IB,13,10
109,IB,NW,13,2
110,IB,N,13,0
111,IB,B,13,1
112,IB,C,13,5
113,IB,E,13,1
114,NW,IB,13,2
115,NW,NW,13,13
116,NW,N,13,3
117,NW,B,13,3
118,NW,C,13,6
119,NW,E,13,4
120,N,IB,13,0
121,N,NW,13,3
122,N,N,13,9
123,N,B,13,5
124,N,C,13,2
125,N,E,13,3
126,B,IB,13,1
127,B,NW,13,3
128,B,N,13,5
129,B,B,13,11
130,B,C,13,2
131,B,E,13,6
132,C,IB,13,5
133,C,NW,13,6
134,C,N,13,2
135,C,B,13,2
136,C,C,13,11
137,C,E,13,3
138,E,IB,13,1
139,E,NW,13,4
140,E,N,13,3
141,E,B,13,6
142,E,C,13,3
143,E,E,13,7
144,IB,IB,14,10
145,IB,NW,14,5
146,IB,N,14,0
147,IB,B,14,2
148,IB,C,14,6
149,IB,E,14,2
150,NW,IB,14,5
151,NW,NW,14,15
152,NW,N,14,2
153,NW,B,14,5
154,NW,C,14,10
155,NW,E,14,6
156,N,IB,14,0
157,N,NW,14,2
158,N,N,14,7
159,N,B,14,7
160,N,C,14,3
161,N,E,14,5
162,B,IB,14,2
163,B,NW,14,5
164,B,N,14,7
165,B,B,14,9
166,B,C,14,10
167,B,E,14,6
168,C,IB,14,6
169,C,NW,14,10
170,C,N,14,3
171,C,B,14,10
172,C,C,14,15
173,C,E,14,12
174,E,IB,14,2
175,E,NW,14,6
176,E,N,14,5
177,E,B,14,6
178,E,C,14,12
179,E,E,14,10
180,IB,IB,15,8
181,IB,NW,15,1
182,IB,N,15,1
183,IB,B,15,3
184,IB,C,15,1
185,IB,E,15,4
186,NW,IB,15,1
187,NW,NW,15,6
188,NW,N,15,0
189,NW,B,15,2
190,NW,C,15,3
191,NW,E,15,3
192,N,IB,15,1
193,N,NW,15,0
194,N,N,15,6
195,N,B,15,3
196,N,C,15,2
197,N,E,15,4
198,B,IB,15,3
199,B,NW,15,2
200,B,N,15,3
201,B,B,15,8
202,B,C,15,7
203,B,E,15,4
204,C,IB,15,1
205,C,NW,15,3
206,C,N,15,2
207,C,B,15,7
208,C,C,15,9
209,C,E,15,7
210,E,IB,15,4
211,E,NW,15,3
212,E,N,15,4
213,E,B,15,4
214,E,C,15,7
215,E,E,15,12
216,IB,IB,16,10
217,IB,NW,16,0
218,IB,N,16,0
219,IB,B,16,1
220,IB,C,16,4
221,IB,E,16,3
222,NW,IB,16,0
223,NW,NW,16,8
224,NW,N,16,5
225,NW,B,16,4
226,NW,C,16,3
227,NW,E,16,2
228,N,IB,16,0
229,N,NW,16,5
230,N,N,16,8
231,N,B,16,4
232,N,C,16,5
233,N,E,16,3
234,B,IB,16,1
235,B,NW,16,4
236,B,N,16,4
237,B,B,16,6
238,B,C,16,2
239,B,E,16,2
240,C,IB,16,4
241,C,NW,16,3
242,C,N,16,5
243,C,B,16,2
244,C,C,16,9
245,C,E,16,5
246,E,IB,16,3
247,E,NW,16,2
248,E,N,16,3
249,E,B,16,2
250,E,C,16,5
251,E,E,16,6
252,IB,IB,17,7
253,IB,NW,17,3
254,IB,N,17,1
255,IB,B,17,2
256,IB,C,17,4
257,IB,E,17,3
258,NW,IB,17,3
259,NW,NW,17,12
260,NW,N,17,2
261,NW,B,17,4
262,NW,C,17,8
263,NW,E,17,4
264,N,IB,17,1
265,N,NW,17,2
266,N,N,17,8
267,N,B,17,5
268,N,C,17,2
269,N,E,17,4
270,B,IB,17,2
271,B,NW,17,4
272,B,N,17,5
273,B,B,17,12
274,B,C,17,3
275,B,E,17,5
276,C,IB,17,4
277,C,NW,17,8
278,C,N,17,2
279,C,B,17,3
280,C,C,17,9
281,C,E,17,4
282,E,IB,17,3
283,E,NW,17,4
284,E,N,17,4
285,E,B,17,5
286,E,C,17,4
287,E,E,17,7
288,IB,IB,18,8
289,IB,NW,18,1
290,IB,N,18,0
291,IB,B,18,0
292,IB,C,18,0
293,IB,E,18,0
294,NW,IB,18,1
295,NW,NW,18,11
296,NW,N,18,0
297,NW,B,18,2
298,NW,C,18,4
299,NW,E,18,1
300,N,IB,18,0
301,N,NW,18,0
302,N,N,18,4
303,N,B,18,3
304,N,C,18,0
305,N,E,18,0
306,B,IB,18,0
307,B,NW,18,2
308,B,N,18,3
309,B,B,18,8
310,B,C,18,1
311,B,E,18,2
312,C,IB,18,0
313,C,NW,18,4
314,C,N,18,0
315,C,B,18,1
316,C,C,18,5
317,C,E,18,2
318,E,IB,18,0
319,E,NW,18,1
320,E,N,18,0
321,E,B,18,2
322,E,C,18,2
323,E,E,18,4
324,IB,IB,19,9
325,IB,NW,19,3
326,IB,N,19,0
327,IB,B,19,2
328,IB,C,19,4
329,IB,E,19,3
330,NW,IB,19,3
331,NW,NW,19,9
332,NW,N,19,0
333,NW,B,19,4
334,NW,C,19,6
335,NW,E,19,5
336,N,IB,19,0
337,N,NW,19,0
338,N,N,19,5
339,N,B,19,3
340,N,C,19,0
341,N,E,19,0
342,B,IB,19,2
343,B,NW,19,4
344,B,N,19,3
345,B,B,19,10
346,B,C,19,5
347,B,E,19,6
348,C,IB,19,4
349,C,NW,19,6
350,C,N,19,0
351,C,B,19,5
352,C,C,19,8
353,C,E,19,7
354,E,IB,19,3
355,E,NW,19,5
356,E,N,19,0
357,E,B,19,6
358,E,C,19,7
359,E,E,19,7
360,IB,IB,20,10
361,IB,NW,20,4
362,IB,N,20,1
363,IB,B,20,3
364,IB,C,20,8
365,IB,E,20,7
366,NW,IB,20,4
367,NW,NW,20,16
368,NW,N,20,5
369,NW,B,20,3
370,NW,C,20,9
371,NW,E,20,8
372,N,IB,20,1
373,N,NW,20,5
374,N,N,20,12
375,N,B,20,8
376,N,C,20,4
377,N,E,20,5
378,B,IB,20,3
379,B,NW,20,3
380,B,N,20,8
381,B,B,20,15
382,B,C,20,6
383,B,E,20,8
384,C,IB,20,8
385,C,NW,20,9
386,C,N,20,4
387,C,B,20,6
388,C,C,20,16
389,C,E,20,11
390,E,IB,20,7
391,E,NW,20,8
392,E,N,20,5
393,E,B,20,8
394,E,C,20,11
395,E,E,20,14
396,IB,IB,21,12
397,IB,NW,21,4
398,IB,N,21,2
399,IB,B,21,5
400,IB,C,21,5
401,IB,E,21,6
402,NW,IB,21,4
403,NW,NW,21,12
404,NW,N,21,2
405,NW,B,21,4
406,NW,C,21,4
407,NW,E,21,5
408,N,IB,21,2
409,N,NW,21,2
410,N,N,21,9
411,N,B,21,6
412,N,C,21,3
413,N,E,21,3
414,B,IB,21,5
415,B,NW,21,4
416,B,N,21,6
417,B,B,21,10
418,B,C,21,3
419,B,E,21,6
420,C,IB,21,5
421,C,NW,21,4
422,C,N,21,3
423,C,B,21,3
424,C,C,21,7
425,C,E,21,5
426,E,IB,21,6
427,E,NW,21,5
428,E,N,21,3
429,E,B,21,6
430,E,C,21,5
431,E,E,21,9
432,IB,IB,22,12
433,IB,NW,22,2
434,IB,N,22,0
435,IB,B,22,4
436,IB,C,22,2
437,IB,E,22,2
438,NW,IB,22,2
439,NW,NW,22,16
440,NW,N,22,3
441,NW,B,22,6
442,NW,C,22,7
443,NW,E,22,7
444,N,IB,22,0
445,N,NW,22,3
446,N,N,22,7
447,N,B,22,5
448,N,C,22,3
449,N,E,22,4
450,B,IB,22,4
451,B,NW,22,6
452,B,N,22,5
453,B,B,22,16
454,B,C,22,8
455,B,E,22,8
456,C,IB,22,2
457,C,NW,22,7
458,C,N,22,3
459,C,B,22,8
460,C,C,22,11
461,C,E,22,7
462,E,IB,22,2
463,E,NW,22,7
464,E,N,22,4
465,E,B,22,8
466,E,C,22,7
467,E,E,22,11
468,IB,IB,23,13
469,IB,NW,23,6
470,IB,N,23,1
471,IB,B,23,4
472,IB,C,23,11
473,IB,E,23,7
474,NW,IB,23,6
475,NW,NW,23,8
476,NW,N,23,2
477,NW,B,23,2
478,NW,C,23,9
479,NW,E,23,4
480,N,IB,23,1
481,N,NW,23,2
482,N,N,23,8
483,N,B,23,2
484,N,C,23,2
485,N,E,23,2
486,B,IB,23,4
487,B,NW,23,2
488,B,N,23,2
489,B,B,23,9
490,B,C,23,8
491,B,E,23,7
492,C,IB,23,11
493,C,NW,23,9
494,C,N,23,2
495,C,B,23,8
496,C,C,23,16
497,C,E,23,13
498,E,IB,23,7
499,E,NW,23,4
500,E,N,23,2
501,E,B,23,7
502,E,C,23,13
503,E,E,23,15
504,IB,IB,24,9
505,IB,NW,24,4
506,IB,N,24,2
507,IB,B,24,3
508,IB,C,24,6
509,IB,E,24,3
510,NW,IB,24,4
511,NW,NW,24,6
512,NW,N,24,0
513,NW,B,24,1
514,NW,C,24,4
515,NW,E,24,3
516,N,IB,24,2
517,N,NW,24,0
518,N,N,24,10
519,N,B,24,6
520,N,C,24,5
521,N,E,24,5
522,B,IB,24,3
523,B,NW,24,1
524,B,N,24,6
525,B,B,24,9
526,B,C,24,5
527,B,E,24,7
528,C,IB,24,6
529,C,NW,24,4
530,C,N,24,5
531,C,B,24,5
532,C,C,24,15
533,C,E,24,11
534,E,IB,24,3
535,E,NW,24,3
536,E,N,24,5
537,E,B,24,7
538,E,C,24,11
539,E,E,24,10
540,IB,IB,25,13
541,IB,NW,25,3
542,IB,N,25,1
543,IB,B,25,3
544,IB,C,25,7
545,IB,E,25,3
546,NW,IB,25,3
547,NW,NW,25,12
548,NW,N,25,2
549,NW,B,25,5
550,NW,C,25,10
551,NW,E,25,8
552,N,IB,25,1
553,N,NW,25,2
554,N,N,25,10
555,N,B,25,9
556,N,C,25,3
557,N,E,25,4
558,B,IB,25,3
559,B,NW,25,5
560,B,N,25,9
561,B,B,25,12
562,B,C,25,8
563,B,E,25,7
564,C,IB,25,7
565,C,NW,25,10
566,C,N,25,3
567,C,B,25,8
568,C,C,25,15
569,C,E,25,10
570,E,IB,25,3
571,E,NW,25,8
572,E,N,25,4
573,E,B,25,7
574,E,C,25,10
575,E,E,25,17
576,IB,IB,26,6
577,IB,NW,26,0
578,IB,N,26,0
579,IB,B,26,1
580,IB,C,26,1
581,IB,E,26,1
582,NW,IB,26,0
583,NW,NW,26,3
584,NW,N,26,0
585,NW,B,26,0
586,NW,C,26,1
587,NW,E,26,0
588,N,IB,26,0
589,N,NW,26,0
590,N,N,26,5
591,N,B,26,3
592,N,C,26,0
593,N,E,26,0
594,B,IB,26,1
595,B,NW,26,0
596,B,N,26,3
597,B,B,26,5
598,B,C,26,0
599,B,E,26,1
600,C,IB,26,1
601,C,NW,26,1
602,C,N,26,0
603,C,B,26,0
604,C,C,26,2
605,C,E,26,0
606,E,IB,26,1
607,E,NW,26,0
608,E,N,26,0
609,E,B,26,1
610,E,C,26,0
611,E,E,26,2
612,IB,IB,27,15
613,IB,NW,27,4
614,IB,N,27,2
615,IB,B,27,8
616,IB,C,27,9
617,IB,E,27,9
618,NW,IB,27,4
619,NW,NW,27,13
620,NW,N,27,4
621,NW,B,27,6
622,NW,C,27,9
623,NW,E,27,7
624,N,IB,27,2
625,N,NW,27,4
626,N,N,27,10
627,N,B,27,7
628,N,C,27,2
629,N,E,27,2
630,B,IB,27,8
631,B,NW,27,6
632,B,N,27,7
633,B,B,27,16
634,B,C,27,8
635,B,E,27,11
636,C,IB,27,9
637,C,NW,27,9
638,C,N,27,2
639,C,B,27,8
640,C,C,27,13
641,C,E,27,9
642,E,IB,27,9
643,E,NW,27,7
644,E,N,27,2
645,E,B,27,11
646,E,C,27,9
647,E,E,27,15
648,IB,IB,28,3
649,IB,NW,28,1
650,IB,N,28,0
651,IB,B,28,0
652,IB,C,28,1
653,IB,E,28,0
654,NW,IB,28,1
655,NW,NW,28,9
656,NW,N,28,0
657,NW,B,28,0
658,NW,C,28,3
659,NW,E,28,2
660,N,IB,28,0
661,N,NW,28,0
662,N,N,28,1
663,N,B,28,0
664,N,C,28,0
665,N,E,28,0
666,B,IB,28,0
667,B,NW,28,0
668,B,N,28,0
669,B,B,28,2
670,B,C,28,0
671,B,E,28,2
672,C,IB,28,1
673,C,NW,28,3
674,C,N,28,0
675,C,B,28,0
676,C,C,28,5
677,C,E,28,4
678,E,IB,28,0
679,E,NW,28,2
680,E,N,28,0
681,E,B,28,2
682,E,C,28,4
683,E,E,28,6
684,IB,IB,29,5
685,IB,NW,29,3
686,IB,N,29,0
687,IB,B,29,2
688,IB,C,29,3
689,IB,E,29,5
690,NW,IB,29,3
691,NW,NW,29,13
692,NW,N,29,2
693,NW,B,29,4
694,NW,C,29,4
695,NW,E,29,6
696,N,IB,29,0
697,N,NW,29,2
698,N,N,29,8
699,N,B,29,4
700,N,C,29,3
701,N,E,29,2
702,B,IB,29,2
703,B,NW,29,4
704,B,N,29,4
705,B,B,29,6
706,B,C,29,4
707,B,E,29,6
708,C,IB,29,3
709,C,NW,29,4
710,C,N,29,3
711,C,B,29,4
712,C,C,29,10
713,C,E,29,6
714,E,IB,29,5
715,E,NW,29,6
716,E,N,29,2
717,E,B,29,6
718,E,C,29,6
719,E,E,29,11
720,IB,IB,30,11
721,IB,NW,30,0
722,IB,N,30,0
723,IB,B,30,0
724,IB,C,30,2
725,IB,E,30,1
726,NW,IB,30,0
727,NW,NW,30,9
728,NW,N,30,2
729,NW,B,30,3
730,NW,C,30,4
731,NW,E,30,1
732,N,IB,30,0
733,N,NW,30,2
734,N,N,30,14
735,N,B,30,10
736,N,C,30,4
737,N,E,30,4
738,B,IB,30,0
739,B,NW,30,3
740,B,N,30,10
741,B,B,30,11
742,B,C,30,4
743,B,E,30,5
744,C,IB,30,2
745,C,NW,30,4
746,C,N,30,4
747,C,B,30,4
748,C,C,30,5
749,C,E,30,4
750,E,IB,30,1
751,E,NW,30,1
752,E,N,30,4
753,E,B,30,5
754,E,C,30,4
755,E,E,30,5
756,IB,IB,31,13
757,IB,NW,31,2
758,IB,N,31,0
759,IB,B,31,0
760,IB,C,31,3
761,IB,E,31,0
762,NW,IB,31,2
763,NW,NW,31,7
764,NW,N,31,4
765,NW,B,31,4
766,NW,C,31,7
767,NW,E,31,5
768,N,IB,31,0
769,N,NW,31,4
770,N,N,31,9
771,N,B,31,9
772,N,C,31,7
773,N,E,31,8
774,B,IB,31,0
775,B,NW,31,4
776,B,N,31,9
777,B,B,31,11
778,B,C,31,7
779,B,E,31,9
780,C,IB,31,3
781,C,NW,31,7
782,C,N,31,7
783,C,B,31,7
784,C,C,31,9
785,C,E,31,8
786,E,IB,31,0
787,E,NW,31,5
788,E,N,31,8
789,E,B,31,9
790,E,C,31,8
791,E,E,31,9
792,IB,IB,32,6
793,IB,NW,32,4
794,IB,N,32,3
795,IB,B,32,2
796,IB,C,32,5
797,IB,E,32,2
798,NW,IB,32,4
799,NW,NW,32,14
800,NW,N,32,4
801,NW,B,32,2
802,NW,C,32,11
803,NW,E,32,9
804,N,IB,32,3
805,N,NW,32,4
806,N,N,32,13
807,N,B,32,9
808,N,C,32,4
809,N,E,32,2
810,B,IB,32,2
811,B,NW,32,2
812,B,N,32,9
813,B,B,32,14
814,B,C,32,4
815,B,E,32,5
816,C,IB,32,5
817,C,NW,32,11
818,C,N,32,4
819,C,B,32,4
820,C,C,32,18
821,C,E,32,11
822,E,IB,32,2
823,E,NW,32,9
824,E,N,32,2
825,E,B,32,5
826,E,C,32,11
827,E,E,32,15
828,IB,IB,33,8
829,IB,NW,33,1
830,IB,N,33,0
831,IB,B,33,0
832,IB,C,33,1
833,IB,E,33,0
834,NW,IB,33,1
835,NW,NW,33,5
836,NW,N,33,1
837,NW,B,33,1
838,NW,C,33,3
839,NW,E,33,2
840,N,IB,33,0
841,N,NW,33,1
842,N,N,33,8
843,N,B,33,6
844,N,C,33,3
845,N,E,33,5
846,B,IB,33,0
847,B,NW,33,1
848,B,N,33,6
849,B,B,33,10
850,B,C,33,3
851,B,E,33,9
852,C,IB,33,1
853,C,NW,33,3
854,C,N,33,3
855,C,B,33,3
856,C,C,33,8
857,C,E,33,4
858,E,IB,33,0
859,E,NW,33,2
860,E,N,33,5
861,E,B,33,9
862,E,C,33,4
863,E,E,33,11
864,IB,IB,34,13
865,IB,NW,34,5
866,IB,N,34,1
867,IB,B,34,5
868,IB,C,34,6
869,IB,E,34,5
870,NW,IB,34,5
871,NW,NW,34,10
872,NW,N,34,2
873,NW,B,34,5
874,NW,C,34,5
875,NW,E,34,4
876,N,IB,34,1
877,N,NW,34,2
878,N,N,34,5
879,N,B,34,4
880,N,C,34,3
881,N,E,34,5
882,B,IB,34,5
883,B,NW,34,5
884,B,N,34,4
885,B,B,34,8
886,B,C,34,7
887,B,E,34,8
888,C,IB,34,6
889,C,NW,34,5
890,C,N,34,3
891,C,B,34,7
892,C,C,34,13
893,C,E,34,8
894,E,IB,34,5
895,E,NW,34,4
896,E,N,34,5
897,E,B,34,8
898,E,C,34,8
899,E,E,34,7
900,IB,IB,35,7
901,IB,NW,35,2
902,IB,N,35,1
903,IB,B,35,1
904,IB,C,35,3
905,IB,E,35,1
906,NW,IB,35,2
907,NW,NW,35,9
908,NW,N,35,0
909,NW,B,35,2
910,NW,C,35,5
911,NW,E,35,3
912,N,IB,35,1
913,N,NW,35,0
914,N,N,35,6
915,N,B,35,4
916,N,C,35,1
917,N,E,35,2
918,B,IB,35,1
919,B,NW,35,2
920,B,N,35,4
921,B,B,35,8
922,B,C,35,2
923,B,E,35,4
924,C,IB,35,3
925,C,NW,35,5
926,C,N,35,1
927,C,B,35,2
928,C,C,35,8
929,C,E,35,5
930,E,IB,35,1
931,E,NW,35,3
932,E,N,35,2
933,E,B,35,4
934,E,C,35,5
935,E,E,35,11
936,IB,IB,36,8
937,IB,NW,36,1
938,IB,N,36,1
939,IB,B,36,0
940,IB,C,36,2
941,IB,E,36,1
942,NW,IB,36,1
943,NW,NW,36,17
944,NW,N,36,6
945,NW,B,36,5
946,NW,C,36,7
947,NW,E,36,5
948,N,IB,36,1
949,N,NW,36,6
950,N,N,36,16
951,N,B,36,8
952,N,C,36,8
953,N,E,36,5
954,B,IB,36,0
955,B,NW,36,5
956,B,N,36,8
957,B,B,36,8
958,B,C,36,4
959,B,E,36,3
960,C,IB,36,2
961,C,NW,36,7
962,C,N,36,8
963,C,B,36,4
964,C,C,36,16
965,C,E,36,6
966,E,IB,36,1
967,E,NW,36,5
968,E,N,36,5
969,E,B,36,3
970,E,C,36,6
971,E,E,36,8
972,IB,IB,37,10
973,IB,NW,37,3
974,IB,N,37,0
975,IB,B,37,0
976,IB,C,37,6
977,IB,E,37,1
978,NW,IB,37,3
979,NW,NW,37,11
980,NW,N,37,2
981,NW,B,37,0
982,NW,C,37,7
983,NW,E,37,2
984,N,IB,37,0
985,N,NW,37,2
986,N,N,37,6
987,N,B,37,1
988,N,C,37,1
989,N,E,37,1
990,B,IB,37,0
991,B,NW,37,0
992,B,N,37,1
993,B,B,37,6
994,B,C,37,1
995,B,E,37,2
996,C,IB,37,6
997,C,NW,37,7
998,C,N,37,1
999,C,B,37,1
1000,C,C,37,11
1001,C,E,37,3
1002,E,IB,37,1
1003,E,NW,37,2
1004,E,N,37,1
1005,E,B,37,2
1006,E,C,37,3
1007,E,E,37,4
1008,IB,IB,38,6
1009,IB,NW,38,1
1010,IB,N,38,0
1011,IB,B,38,1
1012,IB,C,38,1
1013,IB,E,38,1
1014,NW,IB,38,1
1015,NW,NW,38,7
1016,NW,N,38,1
1017,NW,B,38,0
1018,NW,C,38,2
1019,NW,E,38,2
1020,N,IB,38,0
1021,N,NW,38,1
1022,N,N,38,8
1023,N,B,38,1
1024,N,C,38,1
1025,N,E,38,2
1026,B,IB,38,1
1027,B,NW,38,0
1028,B,N,38,1
1029,B,B,38,6
1030,B,C,38,2
1031,B,E,38,2
1032,C,IB,38,1
1033,C,NW,38,2
1034,C,N,38,1
1035,C,B,38,2
1036,C,C,38,5
1037,C,E,38,3
1038,E,IB,38,1
1039,E,NW,38,2
1040,E,N,38,2
1041,E,B,38,2
1042,E,C,38,3
1043,E,E,38,8
1044,IB,IB,39,8
1045,IB,NW,39,1
1046,IB,N,39,1
1047,IB,B,39,1
1048,IB,C,39,5
1049,IB,E,39,1
1050,NW,IB,39,1
1051,NW,NW,39,12
1052,NW,N,39,0
1053,NW,B,39,2
1054,NW,C,39,5
1055,NW,E,39,5
1056,N,IB,39,1
1057,N,NW,39,0
1058,N,N,39,12
1059,N,B,39,5
1060,N,C,39,4
1061,N,E,39,4
1062,B,IB,39,1
1063,B,NW,39,2
1064,B,N,39,5
1065,B,B,39,9
1066,B,C,39,1
1067,B,E,39,4
1068,C,IB,39,5
1069,C,NW,39,5
1070,C,N,39,4
1071,C,B,39,1
1072,C,C,39,9
1073,C,E,39,4
1074,E,IB,39,1
1075,E,NW,39,5
1076,E,N,39,4
1077,E,B,39,4
1078,E,C,39,4
1079,E,E,39,11
1080,IB,IB,40,8
1081,IB,NW,40,3
1082,IB,N,40,0
1083,IB,B,40,1
1084,IB,C,40,4
1085,IB,E,40,3
1086,NW,IB,40,3
1087,NW,NW,40,10
1088,NW,N,40,2
1089,NW,B,40,3
1090,NW,C,40,6
1091,NW,E,40,4
1092,N,IB,40,0
1093,N,NW,40,2
1094,N,N,40,12
1095,N,B,40,9
1096,N,C,40,4
1097,N,E,40,9
1098,B,IB,40,1
1099,B,NW,40,3
1100,B,N,40,9
1101,B,B,40,14
1102,B,C,40,7
1103,B,E,40,11
1104,C,IB,40,4
1105,C,NW,40,6
1106,C,N,40,4
1107,C,B,40,7
1108,C,C,40,14
1109,C,E,40,12
1110,E,IB,40,3
1111,E,NW,40,4
1112,E,N,40,9
1113,E,B,40,11
1114,E,C,40,12
1115,E,E,40,16
1116,IB,IB,41,12
1117,IB,NW,41,1
1118,IB,N,41,1
1119,IB,B,41,2
1120,IB,C,41,6
1121,IB,E,41,1
1122,NW,IB,41,1
1123,NW,NW,41,7
1124,NW,N,41,2
1125,NW,B,41,2
1126,NW,C,41,3
1127,NW,E,41,3
1128,N,IB,41,1
1129,N,NW,41,2
1130,N,N,41,10
1131,N,B,41,8
1132,N,C,41,3
1133,N,E,41,4
1134,B,IB,41,2
1135,B,NW,41,2
1136,B,N,41,8
1137,B,B,41,13
1138,B,C,41,5
1139,B,E,41,8
1140,C,IB,41,6
1141,C,NW,41,3
1142,C,N,41,3
1143,C,B,41,5
1144,C,C,41,9
1145,C,E,41,4
1146,E,IB,41,1
1147,E,NW,41,3
1148,E,N,41,4
1149,E,B,41,8
1150,E,C,41,4
1151,E,E,41,10
1152,IB,IB,42,13
1153,IB,NW,42,3
1154,IB,N,42,1
1155,IB,B,42,3
1156,IB,C,42,6
1157,IB,E,42,3
1158,NW,IB,42,3
1159,NW,NW,42,8
1160,NW,N,42,3
1161,NW,B,42,4
1162,NW,C,42,4
1163,NW,E,42,6
1164,N,IB,42,1
1165,N,NW,42,3
1166,N,N,42,9
1167,N,B,42,7
1168,N,C,42,2
1169,N,E,42,2
1170,B,IB,42,3
1171,B,NW,42,4
1172,B,N,42,7
1173,B,B,42,11
1174,B,C,42,5
1175,B,E,42,4
1176,C,IB,42,6
1177,C,NW,42,4
1178,C,N,42,2
1179,C,B,42,5
1180,C,C,42,8
1181,C,E,42,8
1182,E,IB,42,3
1183,E,NW,42,6
1184,E,N,42,2
1185,E,B,42,4
1186,E,C,42,8
1187,E,E,42,7
1188,IB,IB,43,9
1189,IB,NW,43,1
1190,IB,N,43,1
1191,IB,B,43,1
1192,IB,C,43,2
1193,IB,E,43,0
1194,NW,IB,43,1
1195,NW,NW,43,9
1196,NW,N,43,2
1197,NW,B,43,1
1198,NW,C,43,5
1199,NW,E,43,5
1200,N,IB,43,1
1201,N,NW,43,2
1202,N,N,43,10
1203,N,B,43,1
1204,N,C,43,4
1205,N,E,43,2
1206,B,IB,43,1
1207,B,NW,43,1
1208,B,N,43,1
1209,B,B,43,5
1210,B,C,43,1
1211,B,E,43,3
1212,C,IB,43,2
1213,C,NW,43,5
1214,C,N,43,4
1215,C,B,43,1
1216,C,C,43,11
1217,C,E,43,4
1218,E,IB,43,0
1219,E,NW,43,5
1220,E,N,43,2
1221,E,B,43,3
1222,E,C,43,4
1223,E,E,43,11
1224,IB,IB,44,14
1225,IB,NW,44,5
1226,IB,N,44,1
1227,IB,B,44,2
1228,IB,C,44,7
1229,IB,E,44,2
1230,NW,IB,44,5
1231,NW,NW,44,13
1232,NW,N,44,4
1233,NW,B,44,2
1234,NW,C,44,8
1235,NW,E,44,9
1236,N,IB,44,1
1237,N,NW,44,4
1238,N,N,44,7
1239,N,B,44,2
1240,N,C,44,4
1241,N,E,44,2
1242,B,IB,44,2
1243,B,NW,44,2
1244,B,N,44,2
